smiles_a,count,fraction,mean_target_enrichment,max_target_enrichment,mean_seq_target_sum
CNC(=O)[C@@H](N)CCc1ccccc1,109,0.109,1.7888827629919761,23.525874414259206,15.614678899082568
CNC(=O)[C@@H](N)CCC1CCCCC1,31,0.031,0.9257491598995862,3.7129502116526285,10.709677419354838
CNC(=O)[C@H](CCN)NC(=O)C1CCCCC1,23,0.023,0.6806180745572427,1.876437703401844,10.91304347826087
CNC(=O)[C@@H](N)CC1CCCCC1,13,0.013,0.8025585108804613,4.6041252979018505,9.076923076923077
CNC(=O)[C@@H](CCN)NC(=O)C1CCCCC1,13,0.013,0.5296819654230057,1.1295560650192402,8.153846153846153
CNC(=O)[C@@H](CN)NC(=O)c1ccc2[nH]ccc2c1,12,0.012,0.5633424687137971,1.770427362824331,12.25
CNC(=O)[C@H](CCN)N1CCCCC1,11,0.011,0.4743869418868566,0.9362822016037138,6.7272727272727275
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2ccccc2)CN1,11,0.011,0.6934218256187291,3.3393732064970156,10.181818181818182
CNC(=O)c1n[nH]c2c1CCNC2,11,0.011,0.5011477581920237,1.2999580918222984,8.272727272727273
CNC(=O)[C@@H]1C[C@H](NC(=O)c2cncnc2)CN1,10,0.01,0.6021290379330574,2.3086852502947997,11.5
CNC(=O)[C@@H](CCN)NC(=O)c1cnc(N)s1,10,0.01,0.5895181159822751,1.4765954282090534,11.2
CNC(=O)[C@H](CN)NC(=O)c1cccc(Cl)c1,9,0.009,0.5674357658575854,1.6808830935928722,8.0
CNC(=O)[C@@H]1C[C@H](N)CN1CC1CCCCC1,9,0.009,0.49043673006363825,1.1928344295590845,8.222222222222221
CNC(=O)[C@H](CCN)NC(=O)CC1CCCC1,8,0.008,0.6302788743775791,1.3707341998809397,10.625
CNC(=O)[C@@H]1CCC[C@H](N)C1,8,0.008,0.5340512089098218,1.2423538272856616,11.25
CNC(=O)C[C@@H](C)N,7,0.007,0.6617491493729235,2.2758635073912648,8.285714285714286
CNC(=O)[C@@H](CCN)NC(=O)C1CCOC1,7,0.007,0.745043305398128,2.123578058474353,11.428571428571429
CNC(=O)[C@@H](CN)NC(=O)c1cccc2cc[nH]c12,7,0.007,0.5622133506080894,1.1803319998228985,12.714285714285714
CNC(=O)[C@@H]1C[C@H](N)CN1Cc1cncnc1,7,0.007,0.41771299403537293,0.6637503123568462,6.0
CNC(=O)CC[C@H](N)C(=O)N1CCn2ccnc2C1,7,0.007,0.6294635296796772,1.3934229592512277,9.857142857142858
CNC(=O)[C@H](CN)NC(=O)c1ccsc1,6,0.006,0.4382043896297977,0.7629316941710343,5.166666666666667
CNC(=O)CC1CNCCN1Cc1ccccn1,6,0.006,0.40598040630076365,0.5932255307740274,7.5
CNC(=O)[C@@H]1C[C@H](NC(=O)c2ncoc2C)CN1,6,0.006,0.4106025791005894,0.7195018170301043,7.333333333333333
CNC(=O)[C@H](CCN)NC(=O)c1cn[nH]c1C,6,0.006,0.5064930060430005,1.1156160423699293,5.333333333333333
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2ccsc2)CN1,6,0.006,0.8875340267418733,3.101007042019057,10.166666666666666
CNC(=O)[C@H](CCN)NC(=O)c1cnc(N)s1,6,0.006,0.5481428835872307,0.9362822016037138,7.333333333333333
CNC(=O)c1sc(C2CCNCC2)nc1C,5,0.005,0.4003564630569268,0.5051226099819728,5.6
CNC(=O)[C@@H]1C[C@H](NC(=O)CC(C)C)CN1,5,0.005,0.3713167440480113,0.4401028578767641,5.2
CNC(=O)[C@@H](CCN)NC(=O)c1cccs1,5,0.005,0.5845627035145253,1.50680607923268,8.2
CNC(=O)[C@@H]1C[C@H](NC(=O)c2cccnc2)CN1,5,0.005,0.32543052359446345,0.4401028578767641,4.8
CNC(=O)[C@@H]1CCNC1,5,0.005,0.39524482499695346,0.5300330226981695,7.8
CNC(=O)CC[C@H](N)C(=O)N(C)Cc1cccnc1,5,0.005,0.883948393741047,2.0748659237874336,9.4
CNC(=O)[C@H](CN)NC(=O)CC(C)C,5,0.005,0.5097317087169282,0.7600550528666322,7.0
CNC(=O)[C@H](CN)NC(=O)c1cccc2cc[nH]c12,5,0.005,0.3243775221741865,0.4401028578767641,4.2
CNC(=O)[C@H](CCN)NC(=O)[C@H]1CCCO1,5,0.005,0.7196398338175005,1.3737293899225669,9.8
CNC(=O)[C@H]1C[C@@H](N)C1,5,0.005,0.4155760833082575,0.5969005712656835,6.0
CCN1CCNCC1CC(=O)NC,5,0.005,0.4934411042755376,1.011714869105716,10.2
CNC(=O)[C@@H]1C[C@H](N)CN1Cc1ccccc1,5,0.005,0.39367807844672514,0.4972922999830132,6.8
CCC(=O)N[C@H](CCN)C(=O)NC,5,0.005,0.41050331293246073,0.6263247789313159,6.0
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2ncoc2C)CN1,5,0.005,5.627240358691277,25.984325509611224,28.2
CNC(=O)[C@H](CN)NC(=O)c1ccncc1,5,0.005,0.7029816094998989,2.333123294505326,7.4
CNC(=O)[C@@H](CN)N1CCCCC1,5,0.005,0.3926443010332435,0.6758670661737894,7.6
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2ccnn2C)CN1,5,0.005,0.37161893039366184,0.47805972183107326,6.0
CNC(=O)[C@@H](CCN)NC(=O)[C@H]1CCCO1,5,0.005,1.05491596767884,3.0483040682785503,12.8
CNC(=O)[C@H](CCN)NC(=O)[C@@H]1CCCO1,5,0.005,0.37535756087470296,0.47805972183107326,7.4
CNC(=O)[C@@H](CCN)NC(=O)COC,5,0.005,0.5691320829060802,1.1620413945767387,8.6
CNC(=O)[C@@H]1C[C@H](N)CN1Cc1cnn(C)c1,5,0.005,0.5344449114041994,1.2423538272856616,7.0
CNC(=O)[C@H]1CC[C@H](N)CC1,5,0.005,0.4496447633026782,0.5361629471045315,11.4
CNC(=O)[C@H](CN)NC(=O)COC,5,0.005,0.4956931121936534,1.1620413945767387,7.6
CNC(=O)[C@@H](N)CCC(=O)N(C)Cc1ccccn1,5,0.005,0.36829452704313703,0.6637503123568462,5.4
CNC(=O)[C@@H](CN)NC(=O)c1ccccn1,4,0.004,0.3685342000033668,0.39519655135713944,6.25
CNC(=O)[C@H](CCN)NC(=O)c1ccn(C)n1,4,0.004,0.4023855811982712,0.47479516388106097,10.0
CNC(=O)[C@H](CN)NC(=O)CC1CCCC1,4,0.004,0.44777978622121045,0.5696264373840851,8.25
CNC(=O)CC1CNCCN1Cc1cc[nH]n1,4,0.004,0.2955362900535027,0.29580659546838445,6.0
CNC(=O)[C@@H]1C[C@H](NC(=O)c2cocn2)CN1,4,0.004,0.6085403544446476,1.2167912069736715,10.0
CNC(=O)[C@H](N)Cc1ccc(OC)cc1,4,0.004,1.0065281353860829,2.128431506234353,11.25
CNC(=O)[C@H](CCN)NC(=O)c1ccccc1,4,0.004,0.3316103556555976,0.4401028578767641,4.25
CNC(=O)[C@@H](N)Cc1ccccc1Cl,4,0.004,0.784831582099905,1.876437703401844,8.75
CNC(=O)[C@@H](N)Cc1cccc(C(F)(F)F)c1,4,0.004,0.3453213698028408,0.39519655135713944,5.0
CNC(=O)c1ccc(CN)nc1,4,0.004,0.4116164944756198,0.7386282302401335,6.25
CNC(=O)[C@@H]1C[C@H](NC(C)=O)CN1,4,0.004,0.4149691405948342,0.47993540154028475,8.0
CNC(=O)[C@H](CN)N1CCCCC1,4,0.004,0.36974790618426306,0.44799639036320393,6.75
CNC(=O)[C@@H](CCN)N1CCCCC1,4,0.004,0.7712191337249141,1.7774157056987243,9.75
CNC(=O)[C@H](CCN)NC(=O)CC(C)C,4,0.004,0.4167559535207493,0.5969005712656835,7.25
CNC(=O)[C@H](CN)NC(=O)C1CCOC1,4,0.004,0.3018365915115543,0.32100780130059087,4.75
CNC(=O)[C@H](CCN)NC(=O)c1ncoc1C,4,0.004,0.43130927951174197,0.6198946943311969,6.25
CNC(=O)CC[C@H](N)C(=O)NC1CCOCC1,4,0.004,0.46288581502990345,0.6637503123568462,6.0
CNC(=O)[C@H](CCN)NC(=O)COC,4,0.004,0.587686675637173,1.4765954282090534,8.25
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2ccncc2)CN1,4,0.004,0.9009222154442268,2.0748659237874336,9.25
CNC(=O)[C@@H](CN)NC(=O)c1ccccc1Cl,4,0.004,0.36979417646899515,0.5969005712656835,4.75
CNC(=O)[C@@H](CN)NC(=O)c1ccnn1C,4,0.004,1.0767829879312956,3.3117155866342447,9.0
CNC(=O)[C@@H](CCN)NC(=O)CC1CCCC1,4,0.004,0.34500378853150954,0.47805972183107326,6.5
CNC(=O)[C@@H]1C[C@H](NC(=O)c2cc[nH]n2)CN1,4,0.004,0.8520976738632708,1.7774157056987243,9.0
CNC(=O)[C@@H]1C[C@@H](NC(=O)c2cc(C)[nH]n2)CN1,4,0.004,0.40697395140988296,0.5969005712656835,4.75
CNC(=O)[C@@H]1C[C@@H](NC(=O)C(C)C)CN1,4,0.004,0.7107356058742933,1.4885713766311754,8.25
CNC(=O)[C@@H](CN)NC(=O)COC,4,0.004,0.46003991397518357,0.5969005712656835,8.5
CNC(=O)[C@H](CCN)NC(=O)c1ccncc1,4,0.004,0.3339422149647761,0.4401028578767641,4.75
CNC(=O)[C@@H](CN)NC(=O)c1cn[nH]c1,4,0.004,0.5408430926171218,0.7629316941710343,8.75
CNC(=O)[C@H](CCN)NC(=O)c1cncn1C,4,0.004,0.43093170644727063,0.7072410154671339,9.0
CNC(=O)[C@H](CN)NC(=O)c1ccc2[nH]ccc2c1,3,0.003,0.3598266515791482,0.3895480581247732,8.0
CNC(=O)[C@@H](CN)NC(=O)c1cccnc1,3,0.003,0.3980880248296012,0.47805972183107326,7.0
CNC(=O)[C@H](CCN)NC(C)=O,3,0.003,0.4441498724636632,0.5969005712656835,5.0
CNC(=O)[C@@H](N)CO,3,0.003,0.37691519916081523,0.4401028578767641,5.0
CNC(=O)[C@@H](N)[C@@H](C)OCc1ccccc1,3,0.003,0.7815364058606176,1.1128808277295967,8.0
CNC(=O)[C@@H](CN)NC(=O)c1nccn1C,3,0.003,0.30166447973968474,0.3047736254852561,5.333333333333333
CNC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1,3,0.003,0.3268134782072858,0.3895480581247732,5.0
CNC(=O)[C@@H]1CCCNC1,3,0.003,0.40534348717322094,0.4401028578767641,7.333333333333333
CCN1C[C@@H](N)C[C@H]1C(=O)NC,3,0.003,0.5083569211776141,0.7895217174075362,7.333333333333333
CNC(=O)[C@@H](CN)NC(=O)c1cn(C)cn1,3,0.003,0.6418639688012682,0.9803664385450677,10.333333333333334
CNC(=O)[C@@H](CCN)NC(=O)c1cnc[nH]1,3,0.003,0.5299265142910502,0.9362822016037138,8.333333333333334
CNC(=O)[C@H](CN)NC(=O)c1cnc[nH]1,3,0.003,0.4372974729579579,0.6637503123568462,7.666666666666667
CNC(=O)[C@H](N)Cc1ccc(F)c(F)c1,3,0.003,2.2561118889759557,5.818739177393698,33.333333333333336
CNC(=O)[C@@H](CN)NC(=O)C1CCCCC1,3,0.003,0.3436650781246161,0.4401028578767641,4.333333333333333
CNC(=O)[C@@H](CN)NC(=O)c1csc(N)n1,3,0.003,0.5075202151164685,0.5969005712656835,8.333333333333334
CNC(=O)[C@H](CN)NC(=O)c1cc[nH]n1,3,0.003,0.4697098434449402,0.6198946943311969,8.333333333333334
CNC(=O)[C@@H](CN)NC(=O)c1ccsc1,3,0.003,0.6675699461372646,0.9362822016037138,8.0
CCC(=O)N[C@@H](CCN)C(=O)NC,3,0.003,0.6058778455952295,0.8929652169692355,10.0
CNC(=O)[C@@H](N)Cc1ccccc1,3,0.003,0.5708427279017344,0.7629316941710343,7.333333333333333
CNC(=O)[C@@H]1C[C@@H](N2CCCCC2)CN1,3,0.003,0.3918839680006901,0.4401028578767641,4.666666666666667
CCC(=O)N[C@H]1CN[C@H](C(=O)NC)C1,3,0.003,0.43387632602571946,0.5051226099819728,6.333333333333333
CNC(=O)[C@@H]1C[C@H](NC(=O)c2ccnn2C)CN1,3,0.003,0.447135816177278,0.47805972183107326,8.333333333333334
CNC(=O)[C@H](N)Cc1cccc(Cl)c1,3,0.003,0.35218561580863234,0.4401028578767641,5.333333333333333
CNC(=O)[C@@H](CN)NC(=O)c1cnc(N)s1,3,0.003,0.42225314755695786,0.6758670661737894,7.0
CNC(=O)CC[C@H](N)C(=O)NCc1cnn(C)c1,3,0.003,0.4035956902760937,0.6198946943311969,5.333333333333333
CNC(=O)CC1CNCCN1Cc1cncnc1,3,0.003,0.42918110362378836,0.5969005712656835,5.333333333333333
CNC(=O)[C@H](CN)NC(=O)c1ccc(Cl)cc1,3,0.003,0.3467742238701874,0.4401028578767641,5.0
