smiles_b,count,fraction,mean_target_enrichment,max_target_enrichment,mean_seq_target_sum
CCCC1CCC(CC1)C(O)=O,32,0.032,2.058926697600283,25.984325509611224,14.90625
OC(=O)C1=CC2=CC=CC(F)=C2N1,22,0.022,1.4222293641002524,7.748385948952451,14.909090909090908
CC(C)(C)C1CCC(CC1)C(O)=O,14,0.014,0.8983311579298935,3.3393732064970156,13.285714285714286
CC(C)(C)[C@H]1CC[C@@H](CC1)C(O)=O,12,0.012,0.7832054148264713,1.6808830935928722,9.583333333333334
OC(=O)C1=NNC2=NC=CC=C12,11,0.011,0.7245599993541725,2.333123294505326,23.181818181818183
COC1=CC(C=O)=NC=C1,11,0.011,0.5905187951008536,0.8606776061675306,9.272727272727273
COC1=C(OC)C(OC)=C(C=C1)C(O)=O,8,0.008,0.4359967368955499,0.6637503123568462,6.75
CC(C)(C)OC(=O)N[C@H](C(O)=O)C1=CC=CC=C1,8,0.008,1.003272421044143,4.385798465110167,9.375
OC(=O)C1=CC2=C(N1)C=C(F)C=C2,7,0.007,0.5211053134462726,1.2999580918222984,6.428571428571429
CC(C)(C)C1=CC=C(C=O)C=C1,7,0.007,0.5088305730777622,0.6198946943311969,6.714285714285714
COC1=CC2=C(NC(=C2)C(O)=O)C=C1,7,0.007,0.7640173920716073,1.876437703401844,10.285714285714286
CC1=CC2=C(NC(=C2)C(O)=O)C=C1,7,0.007,0.6965871214157745,2.3086852502947997,11.428571428571429
OC(=O)C1=CC(=NC=C1)[N+]([O-])=O,6,0.006,1.203321128156456,5.043752957312784,12.166666666666666
CC1=C(O)C=C(C=C1)C(O)=O,5,0.005,0.756423340531687,1.4885713766311754,9.6
Nc1ncc(s1)C(O)=O,5,0.005,1.0724440941138578,3.7129502116526285,19.8
CN1N=C(C)C2=C1N=C(C)C=C2C(O)=O,5,0.005,0.9408051843266033,2.0748659237874336,12.4
OC(=O)\\C=C\\C1=CC(F)=CC(F)=C1,5,0.005,0.5072106301466395,0.6637503123568462,6.4
CC1=CC(C=O)=C(O)C=C1,5,0.005,0.5745670734399337,1.1128808277295967,7.4
CC1=C(C=C(O)C=C1)C(O)=O,4,0.004,1.2595579839640634,2.8016261674323046,17.0
CC1=CC=C(Cl)C(C=O)=C1F,4,0.004,0.40132015898044204,0.7002871967027139,8.0
COC1=CC=CC(=C1)C1(CCC1)C(O)=O,4,0.004,0.405178162700206,0.5932255307740274,7.75
OCC1CCC(CC1)C(O)=O,4,0.004,0.32941910324151086,0.3895480581247732,5.75
OC1=CC=C(OC(F)(F)F)C=C1C=O,4,0.004,0.3635509926129505,0.4401028578767641,9.0
CCOC1=CC=CC(C=O)=C1O,4,0.004,0.3579763265434188,0.4401028578767641,7.5
ClC1=CC(C=O)=CC(Br)=C1,4,0.004,1.496880075352458,2.128431506234353,20.0
OC(=O)C1=CC=C(Br)O1,4,0.004,0.4902592413921752,0.6206938156912712,11.0
OC(=O)CC1CCCC1,4,0.004,0.7390051342017879,1.6630059222591542,11.5
OC(=O)\\C=C\\C1=C(F)C=C(F)C=C1,4,0.004,0.6212932826148946,0.9362822016037138,7.5
COC(=O)CC(NC(=O)OC(C)(C)C)C(O)=O,4,0.004,0.6257709921927274,1.2167912069736715,9.0
OC(=O)CCC=C,4,0.004,0.500112710454904,1.0469807940290552,10.75
OC(=O)C1=CC(F)=C(C=C1)C(F)(F)F,4,0.004,0.49424869733635884,0.7072410154671339,7.25
CC(C)(C)OC(=O)N[C@@H](CO)C(O)=O,4,0.004,0.45189508214207275,0.7386282302401335,6.25
OC(=O)CC1=CC=C(O)C=C1,4,0.004,0.3660371624213242,0.47805972183107326,5.5
CCN(CC)C1=CC2=C(C=C1)C=C(C(O)=O)C(=O)O2,4,0.004,0.4222132819023528,0.5969005712656835,5.5
CC(=O)NCCCCCC(O)=O,4,0.004,1.4326691468602732,3.0483040682785503,12.25
COC1=CC=C(Br)C(C=O)=C1,4,0.004,0.4428069107076588,0.6637503123568462,8.5
CSC1=C(C=CC=N1)C(O)=O,4,0.004,0.754141572387342,1.908356943072268,14.0
OC(=O)C1=CC=CC=C1N1CCOCC1,4,0.004,0.8306918352151514,2.217984171467856,13.5
CC1=CC(C)=C(C=C1)C(O)=O,4,0.004,0.4719511993811606,0.758309749116324,8.5
COC1=CC(C)=C(C=C1)C(O)=O,4,0.004,0.5570148172522259,1.2423538272856616,7.75
OC(=O)C1CCC(CC1)C1=CC=C(Cl)C=C1,4,0.004,0.3969897141084241,0.5314020090077992,7.0
OC(=O)c1cccc2cn[nH]c12,4,0.004,0.6192333311591689,0.8929652169692355,9.25
OC(=O)C1CC1(F)F,4,0.004,0.2984123671281334,0.31137333390223665,6.5
OC(=O)C1=CN=C(C=C1)C1=CC=CC=C1,4,0.004,0.40841918704847463,0.7473381834482723,6.5
CC1=C(C=CC=C1CC(O)=O)[N+]([O-])=O,4,0.004,0.30574080839888895,0.32100780130059087,6.25
OC(=O)CN1CCCCC1,4,0.004,0.6543082279246988,1.265851601377621,8.5
COCCC(O)=O,3,0.003,0.3552947615542037,0.4401028578767641,6.0
CC(C)(C)OC(=O)N1CCC(CC1)C(O)=O,3,0.003,0.640664413926231,0.9953946814137544,13.0
OC(=O)C1=NNC2=CC=CC=C12,3,0.003,0.35218561580863234,0.4401028578767641,5.333333333333333
CC(C)(C)C1=CC(=CC(=C1)C(O)=O)C(C)(C)C,3,0.003,1.7540770552674623,2.891919053766411,12.0
CC(C(O)=O)C1=CC=C(C=C1)[N+]([O-])=O,3,0.003,0.3764983494694395,0.4401028578767641,5.666666666666667
OC(=O)C1=CSC=C1Br,3,0.003,0.5227741340902764,0.9855548860444037,7.0
OC(=O)\\C=C\\C1=CC=C(C=C1)C1=CC=CC=C1,3,0.003,0.3639841854479092,0.5051226099819728,5.333333333333333
CCC1=CC=C(C=O)C=C1[N+]([O-])=O,3,0.003,0.4232512579594338,0.4401028578767641,5.666666666666667
CN(CCC=O)C(=O)OC(C)(C)C,3,0.003,0.6146648494460858,0.7629316941710343,8.333333333333334
OC(=O)[C@H]1CCCO1,3,0.003,0.46954226523962217,0.6637503123568462,7.0
CC(C)[C@@H](NC(=O)OC(C)(C)C)C(O)=O,3,0.003,0.294092044870099,0.2954461882485421,4.333333333333333
OC(=O)c1cccc2cc[nH]c12,3,0.003,0.3862899247695714,0.4682270347030328,6.666666666666667
