bb2,count,fraction,mean_read_count,max_read_count
COC(=O)C1=CSC2=C1SC(C(=O)O)=C2,2566,0.12134682682303982,925.4321901792673,4641.0
COC(=O)C1=CC(C(=O)O)=CC(F)=C1,2321,0.10976071124562566,998.9965532098233,4658.0
COC(=O)C1=CC2=C(C=C(C(=O)O)[NH]2)C(C)=C1,1767,0.08356190296037076,926.8415393322015,4387.0
COC(=O)C1=CC2=C(C=C1)CCCC2CC(=O)O,1463,0.0691856615908446,998.827067669173,4712.0
COC(=O)C1CC2(CC(C(=O)O)C2)C1,1066,0.05041142532866736,985.6341463414634,4554.0
COC(=O)C1CCCC(C(=O)O)CC1,874,0.041331693937387684,834.2059496567506,3645.0
COC(=O)C1=CSC2=C1[NH]C(C(=O)O)=C2,611,0.02889435354204105,879.9427168576104,3441.0
COC(=O)C1=CC(C(=O)O)=C(Cl)C=C1,554,0.026198808285254893,910.1209386281588,3492.0
COC(=O)C1=CC=CC(CC(=O)O)=C1,534,0.025253002931996595,972.623595505618,3142.0
COC(=O)CC[C@@H]1CC[C@H](C(=O)O)O1,497,0.02350326302846874,926.9114688128773,3851.0
CC1=CC(C(=O)O)=CC(C(=O)O)=C1,473,0.02236829660455878,944.5708245243129,4335.0
COC(=O)C1CCCC(C(=O)O)C1,397,0.018774236262177245,820.1309823677582,3780.0
O=C(O)[C@H]1CC[C@@H](C(=O)O)C1,389,0.018395914120873925,897.8354755784062,2632.0
CCOC(=O)C1=CC(Cl)=C(C(=O)O)N=C1,374,0.0176865601059302,1059.1176470588234,4704.0
CCOC(=O)C1CCC(CC(=O)O)CC1,332,0.01570036886408777,732.1385542168674,2032.0
COC(=O)C1=CSC(C(=O)O)=C1,315,0.014896434313818216,985.8634920634921,3528.0
COC(=O)[C@@H]1CO[C@H](CCC(=O)O)C1,304,0.01437624136952615,1039.4309210526317,3885.0
COC(=O)C1=CC(C(=O)O)=CC=N1,299,0.014139790031211576,946.8595317725752,3230.0
COC(=O)C1C(F)(F)C12CC(C(=O)O)C2,277,0.013099404142627447,863.7220216606498,2393.0
COC(=O)C1=CC(C)=C(C(=O)O)C=C1,267,0.012626501465998297,909.1086142322098,2221.0
COC(=O)C1=CC(C(=O)O)=C(C)S1,252,0.011917147451054573,824.4047619047619,2628.0
COC(=O)C12CCC(C(=O)O)(CC1)C2,247,0.011680696112739999,864.3643724696357,2573.0
COC(=O)C1=CC=C(CCC(=O)O)C=C1,225,0.01064031022415587,821.5511111111111,2018.0
COC(=O)C1=C2C=CC=C(C(=O)O)C2=CC=C1,213,0.010072827012200889,851.5727699530516,3065.0
COC(=O)COC1=C(C)C=C(C(=O)O)C=C1C,195,0.00922160219426842,1040.5179487179487,3927.0
COC(=O)C1=CC(C(=O)O)=C(C)C=C1,195,0.00922160219426842,821.9435897435898,2181.0
COC(=O)C1=CC=C(C(=O)O)S1,187,0.0088432800529651,991.3636363636364,3212.0
COC(=O)C1=CC2=C(N=C1)N(C)C(C(=O)O)=C2,180,0.008512248179324696,782.3833333333333,1765.0
COC(=O)C1=CC=C(CCC(=O)O)[NH]1,179,0.00846495791166178,789.1284916201117,2420.0
CCOC(=O)C1=C(C)N(C2=NC=C(C(=O)O)C=C2)N=C1,174,0.008228506573347205,912.6034482758621,3930.0
COC(=O)C1=CC2=C(SC(C(=O)O)=C2)S1,169,0.00799205523503263,809.0591715976332,2609.0
CC1=CC=C(S(=O)(=O)N2CCCCC2)C=C1B(O)O,128,0.006053154260853117,1005.4375,2373.0
CCOC(=O)C1CCC(C)(C(=O)O)C1,124,0.005863993190201457,785.2983870967741,2252.0
CCN(CC)S(=O)(=O)C1=CC(B(O)O)=C(C)C=C1,120,0.005674832119549797,1258.3333333333333,4194.0
COC(=O)C1(C)CC(C(=O)O)C1,114,0.0053910905135723065,832.4912280701755,3042.0
COC(=O)CC1=CC=C(C(=O)O)C=C1,104,0.004918187836943157,895.3846153846154,2440.0
COC(=O)C1=CN=C(C(=O)O)C=C1,87,0.004114253286673602,1042.3563218390805,2279.0
O=C(O)CC(CC(=O)O)C1=CC=C(Cl)C=C1,81,0.0038305116806961127,915.7037037037037,3420.0
CC(C)(C)C1=CC(C(=O)O)=CC(C(=O)O)=C1,75,0.003546770074718623,937.4266666666666,1828.0
O=C(O)[C@H]1CC[C@H](C(=O)O)CC1,74,0.003499479807055708,756.5945945945946,1805.0
COC(=O)C1=NN(CCCC(=O)O)C=C1,73,0.003452189539392793,869.6849315068494,2693.0
O=C(O)C1=CC(C(F)(F)F)=C(Br)C=C1,67,0.003168447933415303,904.0895522388059,3266.0
OB1OCC2=C1C=CC=C2F,65,0.0030738673980894734,790.5538461538462,1340.0
O=C(O)C1=C(F)C=C(C(=O)O)C(F)=C1,60,0.0028374160597748983,855.2,2100.0
